order_qty,ship_qty,units,item,upc,brand,description,pack_size,price,extended_price,cost_per_item,store_price,online_price
2,2,CS018,239529,4013900520529,RIEGELEIN,REINDDER AND SANTAS IN BAG,18/4.66 OZ,98.82,197.64,5.49,8.89,9.39
2,2,CS022,239805,4013900510209,RIEGELEIN,LADY BUG CUBE,22/3.5 OZ,131.78,263.56,5.99,9.59,10.09
1,1,CS015,239953,4013900979532,RIEGELEIN,"SNOWMAN BUDDIES, HOLLOW",15/4.4 OZ,82.35,82.35,5.49,8.89,9.39
3,3,CS012,234220,079344002209,SCHLUENDER,AMARETTO LIQUEUR CAKE BOX,12/14 OZ,65.88,197.64,5.49,8.89,9.39
3,3,CS012,234221,079344002216,SCHLUENDER,ORANGE LIQUEUR CAKE BOX,12/14 OZ,65.88,197.64,5.49,8.89,9.39
3,3,CS012,234246,079344002469,SCHLUENDER,CAPPUCCINO LIQUEUR CAKE,12/14 OZ,65.88,197.64,5.49,8.89,9.39
1,1,CS015,234556,079344065587,SCHLUENDER,STOLLEN PIECES W/ APPLE,15/12 OZ,104.85,104.85,6.99,11.19,11.69
1,1,CS015,234559,079344065594,SCHLUENDER,STOLLEN PIECES W/ ALMONDS &,15/12 OZ,104.85,104.85,6.99,11.19,11.69
5,5,CS007,234757,079344007570,SCHLUENDER,CHRISTSTOLLEN WITH RUM,7/26.4 OZ,68.53,342.65,9.79,15.49,15.99
2,2,CS012,757070,4009300018070,TEEKANNE,SNOW DREAMS- RASPBERRY,12/1.59 OZ,35.88,71.76,2.99,4.99,5.49
2,2,CS012,757251,4009300019251,TEEKANNE,MAGIC WINTER,12/1.76 OZ,35.88,71.76,2.99,4.99,5.49
4,4,CS008,757465,5901086075317,TEEKANNE,MAGIC WINTER HOLIDAY TEA,8/2.43 OZ,47.92,191.68,5.99,9.59,10.09
2,2,CS012,757696,4009300016960,TEEKANNE,TWINKLING STAR- PLUM AND,12/1.76 OZ,35.88,71.76,2.99,4.99,5.49
3,3,CS012,757716,9001475007243,TEEKANNE,TK GLUEFIX - MULLING SPICES,12/1.06 OZ,35.88,107.64,2.99,4.99,5.49
2,2,CS018,187549,8710476805499,THE OLD MILL,COFFEE WAFERS PACK,18/6.2 OZ,42.58,85.16,2.37,3.99,4.49
3,3,CS012,187591,860003955918,THE OLD MILL,SPECULAAS SPICED COOKIE PK,12/5.3 OZ,26.28,78.84,2.19,3.79,4.29
2,2,CS016,187596,860003955932,THE OLD MILL,MINI PEANUT ROUNDS COOKIE,16/5.3 OZ,41.44,82.88,2.59,4.39,4.89
3,3,CS006,187597,860003955949,THE OLD MILL,STROOPWAFELS 8PC BOX,6/8.8 OZ,21.54,64.62,3.59,5.89,6.39
1,1,CS006,187895,860003955956,THE OLD MILL,STROOPWAFELS 8PC TIN,6/8.8 OZ,34.74,34.74,5.79,9.29,9.79
3,3,CS018,298070,810253012657,WEISS,CHOCOLATE PFEFFERNUSSE BAG18/7.05,18/7.05 OZ,44.82,134.46,2.49,4.19,4.69
3,3,CS016,298270,4003160118901,WEISS,PFEFFERNUSSE ASSORTED BAG,16/21.1 OZ,105.44,316.32,6.59,10.59,11.09
1,1,CS020,298430,4003160116907,WEISS,MINI HEARTS/STARS/PRETZ MK,20/14.1 OZ,115.8,115.8,5.79,9.29,9.79
1,1,CS020,298457,4003160116808,WEISS,MINI HEARTS/STARS/PRETZ,20/14.1 OZ,115.8,115.8,5.79,9.29,9.79
3,3,CS036,298486,810253011483,WEISS,FILLED DARK CHOC LEBK. HEART36/5.29,36/5.29 OZ,82.44,247.32,2.29,3.89,4.39
1,1,CS036,298750,4003160293004,WEISS,COCOSELLA EXTRA,36/3.5 OZ,93.24,93.24,2.59,4.39,4.89
3,3,CS012,296002,899668000022,WICKLEIN,ALLERLEI COOKIE BAG,12/7.05 OZ,39.48,118.44,3.29,5.49,5.99
5,5,CS018,296003,899668000039,WICKLEIN,LEBKUCHEN GLAZED 14% NUTS,18/7.05 OZ,59.22,296.1,3.29,5.49,5.99
3,3,CS018,296005,899668000053,WICKLEIN,GINGERBREAD STARS 2ASST,18/6.17 OZ,59.22,177.66,3.29,5.49,5.99
2,2,CS012,296006,899668000886,WICKLEIN,MK CHOC GINGERBREAD W/,12/6.35 OZ,43.08,86.16,3.59,5.89,6.39
6,6,CS012,296009,899668000091,WICKLEIN,PFEFFERNEUSSE COOKIE BAG,12/7.05 OZ,39.48,236.88,3.29,5.49,5.99
5,5,CS018,296012,899668000435,WICKLEIN,LEBKUCHEN CHOC 14% NUTS,18/7.05 OZ,59.22,296.1,3.29,5.49,5.99
5,5,CS018,296014,899668000411,WICKLEIN,LEBKUCHEN ASST 14% NUTS,18/7.05 OZ,59.22,296.1,3.29,5.49,5.99
3,3,CS012,296047,899668000473,WICKLEIN,CHERRY FILLED MK CHOC,12/6.17 OZ,43.08,129.24,3.59,5.89,6.39
4,4,CS010,296056,899668000565,WICKLEIN,DOMINOSTEINE GIFT BOX,10/8.11 OZ,59.9,239.6,5.99,9.59,10.09
3,3,CS014,296058,899668000305,WICKLEIN,ZIMTSTERNE CINN STAR,14/4.59 OZ,83.86,251.58,5.99,9.59,10.09
1,1,CS020,296075,4008355000757,WICKLEIN,"ELISEN LEBKUCHEN ASST, 25%",20/8.8 OZ,199.8,199.8,9.99,15.79,16.29
1,1,CS020,296076,4008355000764,WICKLEIN,"ELISEN LEBKUCHEN CHOC, 25%",20/8.8 OZ,199.8,199.8,9.99,15.79,16.29
2,2,CS018,296088,899668000138,WICKLEIN,CHOC LEBKUCHEN HEARTS W/,18/7.58 OZ,93.42,186.84,5.19,8.39,8.89
4,4,CS012,296152,899668000152,WICKLEIN,CHOC DRIZZLED PFEFFERNUESSE,12/6.17 OZ,43.08,172.32,3.59,5.89,6.39
3,3,CS014,296338,899668000909,WICKLEIN,VANILLA CRESCENTS IN GIFT,14/4.59 OZ,83.86,251.58,5.99,9.59,10.09
6,6,CS018,296351,850028789193,WICKLEIN,MEISTERSINGER PLUS W/,18/7.05 OZ,89.82,538.92,4.99,8.09,8.59
2,2,CS018,296436,850028789056,WICKLEIN,"MEISTERSINGER NUTS PLUS,",18/7.05 OZ,89.82,179.64,4.99,8.09,8.59
3,3,CS012,296452,850028789452,WICKLEIN,MUG BUDDIES GINGERBREAD,12/7.05 OZ,39.48,118.44,3.29,5.49,5.99
6,6,CS018,296574,4008355035353,WICKLEIN,MEISTERS GL LEBKUCH 20%NTS,18/7.05 OZ,79.02,474.12,4.39,7.19,7.69
10,10,CS018,296701,4008355035339,WICKLEIN,MEISTERSINGER LEBK ASST 20%,18/7.05 OZ,79.02,790.2,4.39,7.19,7.69
6,6,CS018,296703,4008355035346,WICKLEIN,MEISTERSINGER LEBKUCHEN CH,18/7.05 OZ,79.02,474.12,4.39,7.19,7.69
1,1,CS020,200181,4006613001812,WINDEL,NUTCRACKER TIN,20/2.7 OZ,159.8,159.8,7.99,12.69,13.19
2,2,CS009,745123,074540821234,ANTHONBERG,10 PC CHOC LIQ SINGLE MALT,9/5.47 OZ,159.57,319.14,17.73,27.79,28.29
1,1,CS015,745823,074540899837,ANTHONBERG,CHOCOLATE LIQUEURS 8PC BOX15/4.41OZ,15/4.41 OZ,166.35,166.35,11.09,17.49,17.99
1,1,CS014,745833,074540819330,ANTHONBERG,CHOCOLATE LIQUEURS 12 PC,14/6.61 OZ,240.66,240.66,17.19,26.99,27.49
1,1,CS015,745863,074540811631,ANTHONBERG,CHOCOLATE LIQUEURS 16PC,15/8.82 OZ,304.35,304.35,20.29,31.79,32.29
2,2,CS012,705802,070569802407,BAHLSEN,SPICED SPEKULATIUS BAG,12/7 OZ,50.28,100.56,4.19,6.89,7.39
3,3,CS018,705812,070569812406,BAHLSEN,CHOCO CONTESSA,18/7 OZ,75.42,226.26,4.19,6.89,7.39
